"","date","season","max.RUNA1","max.RUNA2","maxRUNA3","max.RUNA8","max.RUNA9","mean.RUNA1","mean.RUNA2","mean.RUNA3","mean.RUNA8","mean.RUNA9","amp.RUNA1","amp.RUNA2","amp.RUNA3","amp.RUNA8","amp.RUNA9","sd.RUNA1","sd.RUNA2","sd.RUNA3","sd.RUNA8","sd.RUNA9"
"1",2020-02-21,"summer",27.776,28.468,28.468,28.493,27.801,NA,NA,NA,NA,NA,0.885,0.544,0.791,0.717,1.13,0.255751631,0.150821014,0.214281391,0.197008993,0.303124299
"2",2020-02-22,"summer",27.628,28.345,28.345,28.369,27.505,NA,NA,NA,NA,NA,1.202,0.347,0.618,0.618,0.834,0.315196623,0.095238973,0.126190648,0.125699752,0.220788491
"3",2020-02-23,"summer",28.32,28.221,28.27,28.419,28.32,NA,NA,NA,NA,NA,1.233,0.863,0.42,0.569,1.134,0.454810352,0.230653498,0.095428012,0.122022027,0.299166087
"4",2020-02-24,"summer",28.345,28.543,28.196,28.221,28.369,27.8185357142857,27.9300178585714,28.0442321442857,28.0779107157143,27.8282023814286,0.371,2.239,0.838,0.839,0.47,0.112498084,0.603207224,0.165481029,0.165439199,0.138479155
"5",2020-02-25,"summer",28.419,28.419,28.097,28.147,28.196,27.8868928571429,27.9085535728571,28.0490892871429,28.08129762,27.8949940485714,0.988,2.066,0.567,0.543,0.691,0.185366363,0.594383713,0.123470791,0.120024726,0.136269873
"6",2020-02-26,"summer",28.122,28.147,28.171,28.196,28.072,27.9821666671429,27.9038392871429,28.0653035728571,28.0976547628571,28.0101607142857,0.272,1.794,0.395,0.371,0.173,0.047287262,0.479071989,0.094385647,0.091581268,0.06283219
"7",2020-02-27,"summer",28.122,28.221,28.32,28.345,28.171,28.0558273814286,27.9345773814286,28.1024642871429,28.1343809528571,28.0755833328571,0.247,1.158,0.495,0.47,0.395,0.057413309,0.296950577,0.180310677,0.173651638,0.099607045
"8",2020-02-28,"summer",28.147,28.394,28.444,28.468,28.295,28.1081785714286,27.9766428571429,28.1632797628571,28.1951071428571,28.14355357,0.666,0.963,0.545,0.544,0.593,0.155782126,0.221419138,0.135808022,0.129731991,0.171340067
"9",2020-02-29,"summer",28.27,28.345,28.493,28.518,28.593,28.1091964285714,28.0333869042857,28.1955595242857,28.2262440471429,28.1576904742857,0.814,0.396,0.47,0.446,0.792,0.176845256,0.112455716,0.130759293,0.128051931,0.222272633
"10",2020-03-01,"summer",28.345,28.419,28.916,28.941,28.543,28.1049285714286,28.12135119,28.2368035714286,28.2684047614286,28.1812440457143,0.297,0.865,1.091,1.116,0.446,0.096546593,0.211512754,0.277277917,0.27494252,0.115615923
"11",2020-03-02,"summer",28.766,28.493,28.717,28.742,28.866,28.1286369042857,28.2167857142857,28.2665476185714,28.29785119,28.2087619028571,0.644,1.504,0.892,0.917,0.794,0.210919171,0.315603253,0.228363804,0.228919259,0.213949794
"12",2020-03-03,"summer",28.419,28.518,28.568,28.593,28.345,28.1866964285714,28.3049702385714,28.3170059528571,28.3494880957143,28.2518988071429,0.914,0.717,1.481,1.457,0.544,0.193392927,0.159659148,0.411739714,0.416560083,0.143470336
"13",2020-03-04,"summer",28.221,28.667,28.617,28.642,28.245,28.2566607142857,28.3750297628571,28.36097619,28.3931607142857,28.2990119028571,0.544,1.137,1.186,1.235,0.321,0.130710322,0.294372423,0.30565699,0.311778896,0.088115527
"14",2020-03-05,"summer",28.419,28.941,28.717,28.742,28.394,28.2351904757143,28.4470059542857,28.3811607142857,28.4134821428571,28.26795238,0.495,1.485,0.916,0.867,0.519,0.159076388,0.336671988,0.23831139,0.230390937,0.114082699
"15",2020-03-06,"summer",28.841,28.816,28.791,28.816,28.518,27.9059404757143,28.5324642871429,28.3848571428571,28.4171428571429,28.0307142857143,0.917,0.471,0.743,0.694,0.421,0.231966167,0.103676537,0.200837481,0.201236162,0.120544387
"16",2020-03-07,"summer",28.568,28.742,28.742,28.766,28.518,27.7804821414286,28.5959166685714,28.4604345242857,28.4932023814286,28.0221309528571,0.248,0.348,0.521,0.521,0.223,0.070549898,0.093149706,0.117296717,0.117798395,0.050873084
"17",2020-03-08,"summer",28.419,28.866,28.841,28.891,28.419,27.6757202371429,28.6370416685714,28.50892262,28.54125,27.9753928571429,0.692,0.373,0.645,0.67,1.111,0.193661497,0.118023548,0.161177186,0.16489034,0.266522612
"18",2020-03-09,"summer",27.949,29.065,28.642,28.692,27.825,27.5074107142857,28.6553035728571,28.5480059542857,28.5799047614286,27.8740773814286,2.375,0.398,0.644,0.669,1.325,0.542818675,0.126237175,0.205284797,0.207885472,0.342464205
"19",2020-03-10,"summer",28.221,28.816,28.791,28.816,28.394,27.3428869042857,28.6490952385714,28.5311666685714,28.56145238,27.7852797628571,2.234,0.447,0.298,0.298,1.772,0.8936788,0.10887794,0.073766327,0.074367076,0.462061243
"20",2020-03-11,"summer",28.245,28.891,28.742,28.766,28.345,27.1879047614286,28.6467619042857,28.5199523828571,28.5494880942857,27.6928630957143,2.087,0.522,0.274,0.273,0.889,0.454965168,0.137932081,0.08231523,0.083315665,0.255480249
