"","porifera","bryozoa","ascidiacea_c","ascidiacea_s","foraminifera","other_algae","annelida","bivalvia","hydrozoa","prokariotic_biotas","Cirripedia","No_Recruitment","Sediments","CCA"
"RODARMS1_01U",0,2.12765957446809,0,0,25.531914893617,0,4.25531914893617,0,0,4.25531914893617,0,23.4042553191489,4.25531914893617,36.1702127659575
"RODARMS1_01D",0,0,0,0,8.51063829787234,4.25531914893617,2.12765957446809,0,0,21.2765957446809,4.25531914893617,23.4042553191489,0,36.1702127659575
"RODARMS1_02D",0,2.08333333333333,0,0,2.08333333333333,0,6.25,0,0,8.33333333333333,20.8333333333333,31.25,0,29.1666666666667
"RODARMS1_02U",0,0,0,0,0,0,36.1111111111111,0,0,2.77777777777778,0,27.7777777777778,11.1111111111111,22.2222222222222
"RODARMS1_03D",0,16.1290322580645,0,6.45161290322581,0,0,0,3.2258064516129,0,6.45161290322581,0,41.9354838709677,0,25.8064516129032
"RODARMS1_03U",0,0,0,0,27.6595744680851,0,2.12765957446809,0,0,4.25531914893617,2.12765957446809,2.12765957446809,25.531914893617,36.1702127659575
"RODARMS1_04D",0,4.34782608695652,0,0,4.34782608695652,0,4.34782608695652,0,0,4.34782608695652,21.7391304347826,28.2608695652174,0,32.6086956521739
"RODARMS1_04U",0,0,0,0,0,0,33.3333333333333,0,0,2.56410256410256,0,5.12820512820513,33.3333333333333,25.6410256410256
"RODARMS1_05D",7.89473684210526,7.89473684210526,5.26315789473684,2.63157894736842,0,0,10.5263157894737,2.63157894736842,0,2.63157894736842,0,26.3157894736842,2.63157894736842,31.5789473684211
"RODARMS1_05U",0,4.25531914893617,0,0,21.2765957446809,2.12765957446809,0,0,0,2.12765957446809,6.38297872340426,21.2765957446809,14.8936170212766,27.6595744680851
"RODARMS1_06D",0,24.4444444444444,0,0,2.22222222222222,0,0,0,0,2.22222222222222,13.3333333333333,33.3333333333333,2.22222222222222,22.2222222222222
"RODARMS1_06U",5.12820512820513,0,2.56410256410256,2.56410256410256,0,0,30.7692307692308,0,0,0,0,30.7692307692308,17.9487179487179,10.2564102564103
"RODARMS1_07D",2.32558139534884,2.32558139534884,9.30232558139535,2.32558139534884,0,0,4.65116279069767,4.65116279069767,0,6.97674418604651,0,44.1860465116279,0,23.2558139534884
"RODARMS1_07U",2.12765957446809,4.25531914893617,0,0,25.531914893617,0,6.38297872340426,0,0,0,12.7659574468085,4.25531914893617,21.2765957446809,23.4042553191489
"RODARMS1_08D",4.16666666666667,33.3333333333333,0,0,2.08333333333333,0,8.33333333333333,0,0,4.16666666666667,27.0833333333333,14.5833333333333,0,6.25
"RODARMS1_08U",2.63157894736842,0,0,0,0,0,23.6842105263158,0,0,5.26315789473684,0,23.6842105263158,21.0526315789474,23.6842105263158
"RODARMS1_09D",5.88235294117647,8.8235294117647,8.82352941176471,8.8235294117647,0,0,2.94117647058824,2.94117647058824,0,14.7058823529412,0,26.4705882352941,0,20.5882352941176
"RODARMS1_09U",0,2.08333333333333,0,0,43.75,0,0,0,0,2.08333333333333,0,10.4166666666667,18.75,22.9166666666667
"RODARMS1_10D",0,0,0,0,16.2790697674419,0,0,0,11.6279069767442,18.6046511627907,2.32558139534884,20.9302325581395,0,30.2325581395349
