"","arms","campain","triplicat","site","island"
"1","P50ARMS1A","P50ARMS","P50ARMS1","Cap_La_Houssaye","Reunion"
"2","P50ARMS1B","P50ARMS","P50ARMS1","Cap_La_Houssaye","Reunion"
"3","P50ARMS1C","P50ARMS","P50ARMS1","Cap_La_Houssaye","Reunion"
"4","P50ARMS2A","P50ARMS","P50ARMS2","Saint_Leu","Reunion"
"5","P50ARMS2B","P50ARMS","P50ARMS2","Saint_Leu","Reunion"
"6","P50ARMS2C","P50ARMS","P50ARMS2","Saint_Leu","Reunion"
"7","P50ARMS3A","P50ARMS","P50ARMS3","Grand_Bois","Reunion"
"8","P50ARMS3B","P50ARMS","P50ARMS3","Grand_Bois","Reunion"
"9","P50ARMS3C","P50ARMS","P50ARMS3","Grand_Bois","Reunion"
"10","RODARMS1A","RODARMS","RODARMS1","Rivière_Banane","Rodrigues"
"11","RODARMS1B","RODARMS","RODARMS1","Rivière_Banane","Rodrigues"
"12","RODARMS1C","RODARMS","RODARMS1","Rivière_Banane","Rodrigues"
"13","RODARMS2A","RODARMS","RODARMS2","Ile_aux_Fous","Rodrigues"
"14","RODARMS2B","RODARMS","RODARMS2","Ile_aux_Fous","Rodrigues"
"15","RODARMS2C","RODARMS","RODARMS2","Ile_aux_Fous","Rodrigues"
"16","RODARMS3A","RODARMS","RODARMS3","Grand_Pate","Rodrigues"
"17","RODARMS3B","RODARMS","RODARMS3","Grand_Pate","Rodrigues"
"18","RUNARMS1A","RUNARMS","RUNARMS1","Cap_La_Houssaye","Reunion"
"19","RUNARMS1B","RUNARMS","RUNARMS1","Cap_La_Houssaye","Reunion"
"20","RUNARMS1C","RUNARMS","RUNARMS1","Cap_La_Houssaye","Reunion"
"21","RUNARMS5A","RUNARMS","RUNARMS5","Saint_Leu","Reunion"
"22","RUNARMS5B","RUNARMS","RUNARMS5","Saint_Leu","Reunion"
"23","RUNARMS5C","RUNARMS","RUNARMS5","Saint_Leu","Reunion"
"24","RUNARMS9A","RUNARMS","RUNARMS9","Grand_Bois","Reunion"
"25","RUNARMS9B","RUNARMS","RUNARMS9","Grand_Bois","Reunion"
"26","RUNARMS9C","RUNARMS","RUNARMS9","Grand_Bois","Reunion"
