"","arms","campain","triplicat","site","island"
"1","P50ARMS1A","P50ARMS","P50ARMS1","Cap_La_Houssaye","Reunion"
"2","P50ARMS1B","P50ARMS","P50ARMS1","Cap_La_Houssaye","Reunion"
"3","P50ARMS1C","P50ARMS","P50ARMS1","Cap_La_Houssaye","Reunion"
"4","P50ARMS2A","P50ARMS","P50ARMS2","Saint_Leu","Reunion"
"5","P50ARMS2B","P50ARMS","P50ARMS2","Saint_Leu","Reunion"
"6","P50ARMS2C","P50ARMS","P50ARMS2","Saint_Leu","Reunion"
"7","P50ARMS3A","P50ARMS","P50ARMS3","Grand_Bois","Reunion"
"8","P50ARMS3B","P50ARMS","P50ARMS3","Grand_Bois","Reunion"
"9","P50ARMS3C","P50ARMS","P50ARMS3","Grand_Bois","Reunion"
"10","RODARMS1A","RODARMS","RODARMS1","Rivière_Banane","Rodrigues"
"11","RODARMS1B","RODARMS","RODARMS1","Rivière_Banane","Rodrigues"
"12","RODARMS1C","RODARMS","RODARMS1","Rivière_Banane","Rodrigues"
"13","RODARMS2A","RODARMS","RODARMS2","Ile_aux_Fous","Rodrigues"
"14","RODARMS2B","RODARMS","RODARMS2","Ile_aux_Fous","Rodrigues"
"15","RODARMS2C","RODARMS","RODARMS2","Ile_aux_Fous","Rodrigues"
"16","RODARMS3A","RODARMS","RODARMS3","Grand_Pate","Rodrigues"
"17","RODARMS3B","RODARMS","RODARMS3","Grand_Pate","Rodrigues"
"18","RUNARMS1A","RUNARMS","RUNARMS1","Cap_La_Houssaye","Reunion"
"19","RUNARMS1B","RUNARMS","RUNARMS1","Cap_La_Houssaye","Reunion"
"20","RUNARMS1C","RUNARMS","RUNARMS1","Cap_La_Houssaye","Reunion"
"21","RUNARMS2A","RUNARMS","RUNARMS2","La Saline","Reunion"
"22","RUNARMS2B","RUNARMS","RUNARMS2","La Saline","Reunion"
"23","RUNARMS2C","RUNARMS","RUNARMS2","La Saline","Reunion"
"24","RUNARMS3A","RUNARMS","RUNARMS3","La Saline","Reunion"
"25","RUNARMS3B","RUNARMS","RUNARMS3","La Saline","Reunion"
"26","RUNARMS3C","RUNARMS","RUNARMS3","La Saline","Reunion"
"27","RUNARMS4A","RUNARMS","RUNARMS4","Saint_Leu","Reunion"
"28","RUNARMS4B","RUNARMS","RUNARMS4","Saint_Leu","Reunion"
"29","RUNARMS4C","RUNARMS","RUNARMS4","Saint_Leu","Reunion"
"30","RUNARMS5A","RUNARMS","RUNARMS5","Saint_Leu","Reunion"
"31","RUNARMS5B","RUNARMS","RUNARMS5","Saint_Leu","Reunion"
"32","RUNARMS5C","RUNARMS","RUNARMS5","Saint_Leu","Reunion"
"33","RUNARMS6A","RUNARMS","RUNARMS6","Saint_Leu","Reunion"
"34","RUNARMS6B","RUNARMS","RUNARMS6","Saint_Leu","Reunion"
"35","RUNARMS6C","RUNARMS","RUNARMS6","Saint_Leu","Reunion"
"36","RUNARMS7A","RUNARMS","RUNARMS7","Etang_Sale","Reunion"
"37","RUNARMS7B","RUNARMS","RUNARMS7","Etang_Sale","Reunion"
"38","RUNARMS7C","RUNARMS","RUNARMS7","Etang_Sale","Reunion"
"39","RUNARMS8A","RUNARMS","RUNARMS8","Saint_Pierre","Reunion"
"40","RUNARMS8B","RUNARMS","RUNARMS8","Saint_Pierre","Reunion"
"41","RUNARMS8C","RUNARMS","RUNARMS8","Saint_Pierre","Reunion"
"42","RUNARMS9A","RUNARMS","RUNARMS9","Grand_Bois","Reunion"
"43","RUNARMS9B","RUNARMS","RUNARMS9","Grand_Bois","Reunion"
"44","RUNARMS9C","RUNARMS","RUNARMS9","Grand_Bois","Reunion"
