#;Date;Heure_GMT_+04_00;Temp
1;2021-11-24;00:00:00;26,426
2;2021-11-24;01:00:00;24,412
3;2021-11-24;02:00:00;25,137
4;2021-11-24;03:00:00;24,46
5;2021-11-24;04:00:00;24,267
6;2021-11-24;05:00:00;24,412
7;2021-11-24;06:00:00;24,774
8;2021-11-24;07:00:00;24,823
9;2021-11-24;08:00:00;25,525
10;2021-11-24;09:00:00;24,871
11;2021-11-24;10:00:00;25,55
12;2021-11-24;11:00:00;25,841
13;2021-11-24;12:00:00;26,085
14;2021-11-24;13:00:00;26,231
15;2021-11-24;14:00:00;26,622
16;2021-11-24;15:00:00;25,647
17;2021-11-24;16:00:00;25,04
18;2021-11-24;17:00:00;24,267
19;2021-11-24;18:00:00;24,171
20;2021-11-24;19:00:00;24,243
21;2021-11-24;20:00:00;24,243
22;2021-11-24;21:00:00;24,532
23;2021-11-24;22:00:00;26,28
24;2021-11-24;23:00:00;26,671
25;2021-11-25;00:00:00;26,085
26;2021-11-25;01:00:00;24,992
27;2021-11-25;02:00:00;24,557
28;2021-11-25;03:00:00;24,653
29;2021-11-25;04:00:00;24,557
30;2021-11-25;05:00:00;24,629
31;2021-11-25;06:00:00;24,557
32;2021-11-25;07:00:00;25,137
33;2021-11-25;08:00:00;26,182
34;2021-11-25;09:00:00;25,089
35;2021-11-25;10:00:00;25,671
36;2021-11-25;11:00:00;25,914
37;2021-11-25;12:00:00;25,186
38;2021-11-25;13:00:00;26,012
39;2021-11-25;14:00:00;24,726
40;2021-11-25;15:00:00;25,016
41;2021-11-25;16:00:00;24,798
42;2021-11-25;17:00:00;24,702
43;2021-11-25;18:00:00;25,428
44;2021-11-25;19:00:00;24,388
45;2021-11-25;20:00:00;25,355
46;2021-11-25;21:00:00;26,012
47;2021-11-25;22:00:00;26,475
48;2021-11-25;23:00:00;26,598
49;2021-11-26;00:00:00;25,065
50;2021-11-26;01:00:00;25,162
51;2021-11-26;02:00:00;24,605
52;2021-11-26;03:00:00;24,532
53;2021-11-26;04:00:00;24,195
54;2021-11-26;05:00:00;25,186
55;2021-11-26;06:00:00;24,653
56;2021-11-26;07:00:00;24,581
57;2021-11-26;08:00:00;24,46
58;2021-11-26;09:00:00;24,653
59;2021-11-26;10:00:00;24,339
60;2021-11-26;11:00:00;25,089
61;2021-11-26;12:00:00;24,532
62;2021-11-26;13:00:00;24,363
63;2021-11-26;14:00:00;24,75
64;2021-11-26;15:00:00;24,992
65;2021-11-26;16:00:00;25,016
66;2021-11-26;17:00:00;24,388
