#;Date;Heure_GMT_+04_00;Temp
1;2021-11-24;00:00:00;24,726
2;2021-11-24;01:00:00;24,944
3;2021-11-24;02:00:00;24,122
4;2021-11-24;03:00:00;24,436
5;2021-11-24;04:00:00;24,677
6;2021-11-24;05:00:00;24,798
7;2021-11-24;06:00:00;24,774
8;2021-11-24;07:00:00;24,847
9;2021-11-24;08:00:00;25,016
10;2021-11-24;09:00:00;25,016
11;2021-11-24;10:00:00;25,016
12;2021-11-24;11:00:00;24,726
13;2021-11-24;12:00:00;24,944
14;2021-11-24;13:00:00;24,919
15;2021-11-24;14:00:00;25,089
16;2021-11-24;15:00:00;25,04
17;2021-11-24;16:00:00;24,46
18;2021-11-24;17:00:00;24,774
19;2021-11-24;18:00:00;24,46
20;2021-11-24;19:00:00;24,412
21;2021-11-24;20:00:00;24,339
22;2021-11-24;21:00:00;24,291
23;2021-11-24;22:00:00;24,315
24;2021-11-24;23:00:00;24,557
25;2021-11-25;00:00:00;24,798
26;2021-11-25;01:00:00;24,726
27;2021-11-25;02:00:00;24,798
28;2021-11-25;03:00:00;25,598
29;2021-11-25;04:00:00;24,871
30;2021-11-25;05:00:00;24,484
31;2021-11-25;06:00:00;24,508
32;2021-11-25;07:00:00;24,339
33;2021-11-25;08:00:00;25,113
34;2021-11-25;09:00:00;25,453
35;2021-11-25;10:00:00;25,72
36;2021-11-25;11:00:00;25,574
37;2021-11-25;12:00:00;26,256
38;2021-11-25;13:00:00;24,412
39;2021-11-25;14:00:00;24,968
40;2021-11-25;15:00:00;23,833
41;2021-11-25;16:00:00;23,978
42;2021-11-25;17:00:00;24,677
43;2021-11-25;18:00:00;24,508
44;2021-11-25;19:00:00;24,412
45;2021-11-25;20:00:00;25,137
46;2021-11-25;21:00:00;24,871
47;2021-11-25;22:00:00;25,258
48;2021-11-25;23:00:00;25,89
49;2021-11-26;00:00:00;25,574
50;2021-11-26;01:00:00;25,404
51;2021-11-26;02:00:00;24,75
52;2021-11-26;03:00:00;25,234
53;2021-11-26;04:00:00;25,186
54;2021-11-26;05:00:00;24,75
55;2021-11-26;06:00:00;24,388
56;2021-11-26;07:00:00;24,629
57;2021-11-26;08:00:00;26,182
58;2021-11-26;09:00:00;26,671
59;2021-11-26;10:00:00;26,891
60;2021-11-26;11:00:00;26,524
61;2021-11-26;12:00:00;26,549
62;2021-11-26;13:00:00;26,158
63;2021-11-26;14:00:00;25,38
64;2021-11-26;15:00:00;24,629
65;2021-11-26;16:00:00;25,21
66;2021-11-26;17:00:00;24,171
67;2021-11-26;18:00:00;24,919
68;2021-11-26;19:00:00;24,05
69;2021-11-26;20:00:00;25,065
70;2021-11-26;21:00:00;26,231
71;2021-11-26;22:00:00;25,307
72;2021-11-26;23:00:00;24,847
73;2021-11-27;00:00:00;25,38
74;2021-11-27;01:00:00;25,963
75;2021-11-27;02:00:00;25,016
76;2021-11-27;03:00:00;24,992
77;2021-11-27;04:00:00;25,04
78;2021-11-27;05:00:00;25,453
79;2021-11-27;06:00:00;24,315
80;2021-11-27;07:00:00;24,267
81;2021-11-27;08:00:00;24,436
82;2021-11-27;09:00:00;25,137
83;2021-11-27;10:00:00;24,532
84;2021-11-27;11:00:00;24,605
85;2021-11-27;12:00:00;25,113
86;2021-11-27;13:00:00;25,38
87;2021-11-27;14:00:00;26,256
88;2021-11-27;15:00:00;23,905
89;2021-11-27;16:00:00;24,05
90;2021-11-27;17:00:00;24,798
91;2021-11-27;18:00:00;24,992
92;2021-11-27;19:00:00;23,4
93;2021-11-27;20:00:00;24,412
94;2021-11-27;21:00:00;25,162
95;2021-11-27;22:00:00;24,944
96;2021-11-27;23:00:00;24,798
97;2021-11-28;00:00:00;24,774
98;2021-11-28;01:00:00;25,137
99;2021-11-28;02:00:00;25,671
100;2021-11-28;03:00:00;25,089
101;2021-11-28;04:00:00;24,992
102;2021-11-28;05:00:00;25,089
103;2021-11-28;06:00:00;25,137
104;2021-11-28;07:00:00;24,412
105;2021-11-28;08:00:00;24,726
106;2021-11-28;09:00:00;24,243
107;2021-11-28;10:00:00;24,05
108;2021-11-28;11:00:00;24,291
109;2021-11-28;12:00:00;24,315
110;2021-11-28;13:00:00;24,267
111;2021-11-28;14:00:00;24,726
112;2021-11-28;15:00:00;25,453
113;2021-11-28;16:00:00;24,871
114;2021-11-28;17:00:00;24,944
115;2021-11-28;18:00:00;24,605
116;2021-11-28;19:00:00;24,363
117;2021-11-28;20:00:00;24,243
118;2021-11-28;21:00:00;24,219
119;2021-11-28;22:00:00;24,653
120;2021-11-28;23:00:00;25,04
121;2021-11-29;00:00:00;24,774
122;2021-11-29;01:00:00;25,186
123;2021-11-29;02:00:00;24,605
124;2021-11-29;03:00:00;24,484
125;2021-11-29;04:00:00;25,04
126;2021-11-29;05:00:00;24,75
127;2021-11-29;06:00:00;24,171
128;2021-11-29;07:00:00;24,46
129;2021-11-29;08:00:00;24,944
130;2021-11-29;09:00:00;24,702
131;2021-11-29;10:00:00;25,089
132;2021-11-29;11:00:00;25,258
133;2021-11-29;12:00:00;24,388
134;2021-11-29;13:00:00;23,737
135;2021-11-29;14:00:00;23,593
136;2021-11-29;15:00:00;23,785
137;2021-11-29;16:00:00;24,605
138;2021-11-29;17:00:00;24,05
139;2021-11-29;18:00:00;24,436
140;2021-11-29;19:00:00;24,219
141;2021-11-29;20:00:00;23,881
142;2021-11-29;21:00:00;24,195
143;2021-11-29;22:00:00;23,713
144;2021-11-29;23:00:00;23,713
145;2021-11-30;00:00:00;24,122
146;2021-11-30;01:00:00;23,978
147;2021-11-30;02:00:00;23,93
148;2021-11-30;03:00:00;23,881
149;2021-11-30;04:00:00;24,122
150;2021-11-30;05:00:00;24,267
151;2021-11-30;06:00:00;24,339
152;2021-11-30;07:00:00;24,267
153;2021-11-30;08:00:00;24,363
154;2021-11-30;09:00:00;24,605
155;2021-11-30;10:00:00;24,557
156;2021-11-30;11:00:00;24,315
157;2021-11-30;12:00:00;24,532
158;2021-11-30;13:00:00;23,93
159;2021-11-30;14:00:00;24,363
160;2021-11-30;15:00:00;24,219
161;2021-11-30;16:00:00;24,098
162;2021-11-30;17:00:00;24,243
163;2021-11-30;18:00:00;24,532
164;2021-11-30;19:00:00;24,436
165;2021-11-30;20:00:00;24,291
166;2021-11-30;21:00:00;24,267
167;2021-11-30;22:00:00;24,171
168;2021-11-30;23:00:00;23,641
169;2021-12-01;00:00:00;24,098
170;2021-12-01;01:00:00;24,122
171;2021-12-01;02:00:00;24,267
172;2021-12-01;03:00:00;24,195
173;2021-12-01;04:00:00;24,267
174;2021-12-01;05:00:00;24,363
175;2021-12-01;06:00:00;24,75
176;2021-12-01;07:00:00;24,46
177;2021-12-01;08:00:00;24,702
178;2021-12-01;09:00:00;24,798
179;2021-12-01;10:00:00;24,677
180;2021-12-01;11:00:00;24,388
181;2021-12-01;12:00:00;24,315
182;2021-12-01;13:00:00;24,171
183;2021-12-01;14:00:00;24,026
184;2021-12-01;15:00:00;24,122
185;2021-12-01;16:00:00;24,05
186;2021-12-01;17:00:00;24,05
187;2021-12-01;18:00:00;24,002
188;2021-12-01;19:00:00;24,074
189;2021-12-01;20:00:00;24,291
190;2021-12-01;21:00:00;24,653
191;2021-12-01;22:00:00;24,871
192;2021-12-01;23:00:00;24,919
193;2021-12-02;00:00:00;24,484
194;2021-12-02;01:00:00;24,75
195;2021-12-02;02:00:00;24,75
196;2021-12-02;03:00:00;24,629
197;2021-12-02;04:00:00;24,267
198;2021-12-02;05:00:00;24,847
199;2021-12-02;06:00:00;25,065
200;2021-12-02;07:00:00;25,113
201;2021-12-02;08:00:00;25,283
202;2021-12-02;09:00:00;25,21
203;2021-12-02;10:00:00;25,283
204;2021-12-02;11:00:00;25,186
205;2021-12-02;12:00:00;24,774
206;2021-12-02;13:00:00;24,363
207;2021-12-02;14:00:00;24,171
208;2021-12-02;15:00:00;24,267
209;2021-12-02;16:00:00;24,195
210;2021-12-02;17:00:00;24,315
211;2021-12-02;18:00:00;23,93
212;2021-12-02;19:00:00;24,074
213;2021-12-02;20:00:00;24,291
214;2021-12-02;21:00:00;24,46
215;2021-12-02;22:00:00;24,581
216;2021-12-02;23:00:00;24,75
217;2021-12-03;00:00:00;24,75
218;2021-12-03;01:00:00;24,823
219;2021-12-03;02:00:00;25,065
220;2021-12-03;03:00:00;24,992
221;2021-12-03;04:00:00;25,016
222;2021-12-03;05:00:00;24,895
223;2021-12-03;06:00:00;24,919
224;2021-12-03;07:00:00;24,823
225;2021-12-03;08:00:00;24,871
226;2021-12-03;09:00:00;24,944
227;2021-12-03;10:00:00;24,919
228;2021-12-03;11:00:00;24,557
229;2021-12-03;12:00:00;24,484
230;2021-12-03;13:00:00;24,363
231;2021-12-03;14:00:00;24,315
232;2021-12-03;15:00:00;24,339
233;2021-12-03;16:00:00;24,436
234;2021-12-03;17:00:00;24,388
235;2021-12-03;18:00:00;24,267
236;2021-12-03;19:00:00;24,315
237;2021-12-03;20:00:00;24,388
238;2021-12-03;21:00:00;24,484
239;2021-12-03;22:00:00;24,026
240;2021-12-03;23:00:00;24,291
241;2021-12-04;00:00:00;24,944
242;2021-12-04;01:00:00;25,113
243;2021-12-04;02:00:00;25,21
244;2021-12-04;03:00:00;25,21
245;2021-12-04;04:00:00;25,21
246;2021-12-04;05:00:00;25,38
247;2021-12-04;06:00:00;25,404
248;2021-12-04;07:00:00;25,162
249;2021-12-04;08:00:00;24,992
250;2021-12-04;09:00:00;24,823
251;2021-12-04;10:00:00;24,992
252;2021-12-04;11:00:00;25,647
253;2021-12-04;12:00:00;24,677
254;2021-12-04;13:00:00;24,847
255;2021-12-04;14:00:00;25,21
256;2021-12-04;15:00:00;25,113
257;2021-12-04;16:00:00;25,234
258;2021-12-04;17:00:00;24,508
259;2021-12-04;18:00:00;24,702
260;2021-12-04;19:00:00;25,04
261;2021-12-04;20:00:00;25,453
262;2021-12-04;21:00:00;25,162
263;2021-12-04;22:00:00;26,402
264;2021-12-04;23:00:00;26,695
265;2021-12-05;00:00:00;25,137
266;2021-12-05;01:00:00;24,484
267;2021-12-05;02:00:00;24,702
268;2021-12-05;03:00:00;25,428
269;2021-12-05;04:00:00;26,353
270;2021-12-05;05:00:00;26,475
271;2021-12-05;06:00:00;26,402
272;2021-12-05;07:00:00;26,353
273;2021-12-05;08:00:00;26,329
274;2021-12-05;09:00:00;25,939
275;2021-12-05;10:00:00;26,158
276;2021-12-05;11:00:00;25,307
277;2021-12-05;12:00:00;25,137
278;2021-12-05;13:00:00;25,331
279;2021-12-05;14:00:00;25,355
280;2021-12-05;15:00:00;24,677
281;2021-12-05;16:00:00;24,557
282;2021-12-05;17:00:00;24,195
283;2021-12-05;18:00:00;24,098
284;2021-12-05;19:00:00;24,122
285;2021-12-05;20:00:00;24,074
286;2021-12-05;21:00:00;24,219
287;2021-12-05;22:00:00;25,38
288;2021-12-05;23:00:00;26,304
289;2021-12-06;00:00:00;24,581
290;2021-12-06;01:00:00;25,016
291;2021-12-06;02:00:00;25,428
292;2021-12-06;03:00:00;25,283
293;2021-12-06;04:00:00;25,137
294;2021-12-06;05:00:00;25,065
295;2021-12-06;06:00:00;25,016
296;2021-12-06;07:00:00;25,089
297;2021-12-06;08:00:00;25,065
298;2021-12-06;09:00:00;25,137
299;2021-12-06;10:00:00;25,137
300;2021-12-06;11:00:00;25,186
301;2021-12-06;12:00:00;25,016
302;2021-12-06;13:00:00;24,798
303;2021-12-06;14:00:00;24,412
304;2021-12-06;15:00:00;24,847
305;2021-12-06;16:00:00;23,881
306;2021-12-06;17:00:00;23,954
307;2021-12-06;18:00:00;23,352
308;2021-12-06;19:00:00;23,905
309;2021-12-06;20:00:00;23,954
310;2021-12-06;21:00:00;23,497
311;2021-12-06;22:00:00;23,545
312;2021-12-06;23:00:00;23,833
313;2021-12-07;00:00:00;24,919
314;2021-12-07;01:00:00;25,623
315;2021-12-07;02:00:00;24,074
316;2021-12-07;03:00:00;23,954
317;2021-12-07;04:00:00;24,219
318;2021-12-07;05:00:00;24,605
319;2021-12-07;06:00:00;24,508
320;2021-12-07;07:00:00;24,557
321;2021-12-07;08:00:00;24,315
322;2021-12-07;09:00:00;24,219
323;2021-12-07;10:00:00;24,702
324;2021-12-07;11:00:00;25,283
325;2021-12-07;12:00:00;24,653
326;2021-12-07;13:00:00;23,954
327;2021-12-07;14:00:00;24,098
328;2021-12-07;15:00:00;24,122
329;2021-12-07;16:00:00;24,171
330;2021-12-07;17:00:00;24,219
331;2021-12-07;18:00:00;24,243
332;2021-12-07;19:00:00;24,677
333;2021-12-07;20:00:00;24,75
334;2021-12-07;21:00:00;23,833
335;2021-12-07;22:00:00;23,785
336;2021-12-07;23:00:00;23,905
337;2021-12-08;00:00:00;24,919
338;2021-12-08;01:00:00;25,137
339;2021-12-08;02:00:00;25,307
340;2021-12-08;03:00:00;24,074
341;2021-12-08;04:00:00;24,05
342;2021-12-08;05:00:00;24,847
343;2021-12-08;06:00:00;25,089
344;2021-12-08;07:00:00;25,38
345;2021-12-08;08:00:00;24,315
346;2021-12-08;09:00:00;24,026
347;2021-12-08;10:00:00;24,026
348;2021-12-08;11:00:00;24,944
349;2021-12-08;12:00:00;25,598
350;2021-12-08;13:00:00;25,55
351;2021-12-08;14:00:00;24,557
352;2021-12-08;15:00:00;24,171
353;2021-12-08;16:00:00;24,219
