"";".y.";"group1";"group2";"p";"p.adj";"p.format";"p.signif";"method";"group1.bis";"group2.bis"
"1";"value";"Y";"X";5,29436985477662e-07;7,9e-06;"5.3e-07";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS from P50A (mesophotic)"
"2";"value";"Y";"V";7,45525181579185e-08;1,1e-06;"7.5e-08";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS from RODA (shallow)"
"3";"value";"Y";"Z";2,2749120279272e-26;3,4e-25;"< 2e-16";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of RUNA and P50A (within localities)"
"4";"value";"Y";"W";1,12691958281405e-27;1,7e-26;"< 2e-16";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of RUNA and RODA (shallow)"
"5";"value";"Y";"U";2,19500268616443e-08;3,3e-07;"2.2e-08";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of the same triplicate"
"6";"value";"X";"V";0,0705923246133818;1;"0.07059";"ns";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS from RODA (shallow)"
"7";"value";"X";"Z";0,000248338350583838;0,0037;"0.00025";"***";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of RUNA and P50A (within localities)"
"8";"value";"X";"W";0,0111938739799647;0,17;"0.01119";"*";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of RUNA and RODA (shallow)"
"9";"value";"X";"U";1,63600436270677e-08;2,5e-07;"1.6e-08";"****";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of the same triplicate"
"10";"value";"V";"Z";2,96454125946944e-09;4,4e-08;"3.0e-09";"****";"Wilcoxon";"Between ARMS from RODA (shallow)";"Between ARMS of RUNA and P50A (within localities)"
"11";"value";"V";"W";0,392456459810235;1;"0.39246";"ns";"Wilcoxon";"Between ARMS from RODA (shallow)";"Between ARMS of RUNA and RODA (shallow)"
"12";"value";"V";"U";1,2644730187738e-08;1,9e-07;"1.3e-08";"****";"Wilcoxon";"Between ARMS from RODA (shallow)";"Between ARMS of the same triplicate"
"13";"value";"Z";"W";7,71628358783483e-21;1,2e-19;"< 2e-16";"****";"Wilcoxon";"Between ARMS of RUNA and P50A (within localities)";"Between ARMS of RUNA and RODA (shallow)"
"14";"value";"Z";"U";7,92753431953936e-16;1,2e-14;"7.9e-16";"****";"Wilcoxon";"Between ARMS of RUNA and P50A (within localities)";"Between ARMS of the same triplicate"
"15";"value";"W";"U";1,8449479691619e-17;2,8e-16;"< 2e-16";"****";"Wilcoxon";"Between ARMS of RUNA and RODA (shallow)";"Between ARMS of the same triplicate"
