"";".y.";"group1";"group2";"p";"p.adj";"p.format";"p.signif";"method";"group1.bis";"group2.bis"
"1";"value";"Y";"X";1,06083405306182e-09;1,6e-08;"1.1e-09";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS from P50A (mesophotic)"
"2";"value";"Y";"V";1,27995409345423e-05;0,00019;"1.3e-05";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS from RODA (shallow)"
"3";"value";"Y";"Z";4,65377732182771e-25;7e-24;"< 2e-16";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of RUNA and P50A (within localities)"
"4";"value";"Y";"W";8,04401337221467e-80;1,2e-78;"< 2e-16";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of RUNA and RODA (shallow)"
"5";"value";"Y";"U";0,00160968331196793;0,024;"0.00161";"**";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of the same triplicate"
"6";"value";"X";"V";0,216172688479457;1;"0.21617";"ns";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS from RODA (shallow)"
"7";"value";"X";"Z";0,000160095888091978;0,0024;"0.00016";"***";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of RUNA and P50A (within localities)"
"8";"value";"X";"W";8,0771396975009e-09;1,2e-07;"8.1e-09";"****";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of RUNA and RODA (shallow)"
"9";"value";"X";"U";6,02253083382367e-09;9e-08;"6.0e-09";"****";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of the same triplicate"
"10";"value";"V";"Z";4,85059883476678e-06;7,3e-05;"4.9e-06";"****";"Wilcoxon";"Between ARMS from RODA (shallow)";"Between ARMS of RUNA and P50A (within localities)"
"11";"value";"V";"W";2,29132525249253e-09;3,4e-08;"2.3e-09";"****";"Wilcoxon";"Between ARMS from RODA (shallow)";"Between ARMS of RUNA and RODA (shallow)"
"12";"value";"V";"U";1,5444880627817e-06;2,3e-05;"1.5e-06";"****";"Wilcoxon";"Between ARMS from RODA (shallow)";"Between ARMS of the same triplicate"
"13";"value";"Z";"W";0,0456576216821752;0,68;"0.04566";"*";"Wilcoxon";"Between ARMS of RUNA and P50A (within localities)";"Between ARMS of RUNA and RODA (shallow)"
"14";"value";"Z";"U";2,85242401920607e-15;4,3e-14;"2.9e-15";"****";"Wilcoxon";"Between ARMS of RUNA and P50A (within localities)";"Between ARMS of the same triplicate"
"15";"value";"W";"U";1,47127055810888e-24;2,2e-23;"< 2e-16";"****";"Wilcoxon";"Between ARMS of RUNA and RODA (shallow)";"Between ARMS of the same triplicate"
