"";".y.";"group1";"group2";"p";"p.adj";"p.format";"p.signif";"method";"group1.bis";"group2.bis"
"1";"value";"X";"Y";0,642565452394345;1;"0.6426";"ns";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS from RUNA (shallow)"
"2";"value";"X";"Z";0,116337221381325;1;"0.1163";"ns";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of RUNA and P50A (within localities)"
"3";"value";"X";"W";7,27904228025829e-05;0,0011;"7.3e-05";"****";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of RUNA and RODA (shallow)"
"4";"value";"X";"V";0,00689461614120748;0,1;"0.0069";"**";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS from RODA (shallow)"
"5";"value";"X";"U";1;1;"1.0000";"ns";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of the same triplicate"
"6";"value";"Y";"Z";0,125733571312889;1;"0.1257";"ns";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of RUNA and P50A (within localities)"
"7";"value";"Y";"W";1,13751568501056e-12;1,7e-11;"1.1e-12";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of RUNA and RODA (shallow)"
"8";"value";"Y";"V";0,00531929420402161;0,08;"0.0053";"**";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS from RODA (shallow)"
"9";"value";"Y";"U";0,487350728594104;1;"0.4874";"ns";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of the same triplicate"
"10";"value";"Z";"W";0,00629359475228679;0,094;"0.0063";"**";"Wilcoxon";"Between ARMS of RUNA and P50A (within localities)";"Between ARMS of RUNA and RODA (shallow)"
"11";"value";"Z";"V";0,0929666393565315;1;"0.0930";"ns";"Wilcoxon";"Between ARMS of RUNA and P50A (within localities)";"Between ARMS from RODA (shallow)"
"12";"value";"Z";"U";0,0396113077621017;0,59;"0.0396";"*";"Wilcoxon";"Between ARMS of RUNA and P50A (within localities)";"Between ARMS of the same triplicate"
"13";"value";"W";"V";0,876786926445178;1;"0.8768";"ns";"Wilcoxon";"Between ARMS of RUNA and RODA (shallow)";"Between ARMS from RODA (shallow)"
"14";"value";"W";"U";1,71664269775326e-07;2,6e-06;"1.7e-07";"****";"Wilcoxon";"Between ARMS of RUNA and RODA (shallow)";"Between ARMS of the same triplicate"
"15";"value";"V";"U";0,00111302728011241;0,017;"0.0011";"**";"Wilcoxon";"Between ARMS from RODA (shallow)";"Between ARMS of the same triplicate"
