"";".y.";"group1";"group2";"p";"p.adj";"p.format";"p.signif";"method";"group1.bis";"group2.bis"
"1";"value";"Y";"X";2,4745421548295e-06;3,7e-05;"2.5e-06";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS from P50A (mesophotic)"
"2";"value";"Y";"V";2,66564827040243e-07;4e-06;"2.7e-07";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS from RODA (shallow)"
"3";"value";"Y";"Z";1,12318646441616e-23;1,7e-22;"< 2e-16";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of RUNA and P50A (within localities)"
"4";"value";"Y";"W";1,05638286431466e-78;1,6e-77;"< 2e-16";"****";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of RUNA and RODA (shallow)"
"5";"value";"Y";"U";0,00167491004977786;0,025;"0.00167";"**";"Wilcoxon";"Between ARMS from RUNA (shallow)";"Between ARMS of the same triplicate"
"6";"value";"X";"V";0,632473875815756;1;"0.63247";"ns";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS from RODA (shallow)"
"7";"value";"X";"Z";5,3901779193371e-05;0,00081;"5.4e-05";"****";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of RUNA and P50A (within localities)"
"8";"value";"X";"W";1,60843051528413e-10;2,4e-09;"1.6e-10";"****";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of RUNA and RODA (shallow)"
"9";"value";"X";"U";1,36970959159024e-07;2,1e-06;"1.4e-07";"****";"Wilcoxon";"Between ARMS from P50A (mesophotic)";"Between ARMS of the same triplicate"
"10";"value";"V";"Z";0,00117593199795076;0,018;"0.00118";"**";"Wilcoxon";"Between ARMS from RODA (shallow)";"Between ARMS of RUNA and P50A (within localities)"
"11";"value";"V";"W";3,22000487835404e-08;4,8e-07;"3.2e-08";"****";"Wilcoxon";"Between ARMS from RODA (shallow)";"Between ARMS of RUNA and RODA (shallow)"
"12";"value";"V";"U";2,60417468099847e-07;3,9e-06;"2.6e-07";"****";"Wilcoxon";"Between ARMS from RODA (shallow)";"Between ARMS of the same triplicate"
"13";"value";"Z";"W";0,000376649854394425;0,0056;"0.00038";"***";"Wilcoxon";"Between ARMS of RUNA and P50A (within localities)";"Between ARMS of RUNA and RODA (shallow)"
"14";"value";"Z";"U";6,45606240983242e-15;9,7e-14;"6.5e-15";"****";"Wilcoxon";"Between ARMS of RUNA and P50A (within localities)";"Between ARMS of the same triplicate"
"15";"value";"W";"U";1,76989010303987e-24;2,7e-23;"< 2e-16";"****";"Wilcoxon";"Between ARMS of RUNA and RODA (shallow)";"Between ARMS of the same triplicate"
