"";"Package";"Version"
"abind";"abind";"1.4-8"
"ade4";"ade4";"1.7-23"
"adegenet";"adegenet";"2.1.11"
"adegraphics";"adegraphics";"1.0-22"
"adephylo";"adephylo";"1.1-17"
"adespatial";"adespatial";"0.3-28"
"ape";"ape";"5.8-1"
"askpass";"askpass";"1.2.1"
"backports";"backports";"1.5.0"
"base64enc";"base64enc";"0.1-3"
"base64url";"base64url";"1.4"
"betapart";"betapart";"1.6.1"
"BiodiversityR";"BiodiversityR";"2.17-4"
"bit";"bit";"4.6.0"
"bit64";"bit64";"4.6.0-1"
"brew";"brew";"1.0-10"
"brio";"brio";"1.1.5"
"broom";"broom";"1.0.11"
"bslib";"bslib";"0.9.0"
"cachem";"cachem";"1.1.0"
"callr";"callr";"3.7.6"
"car";"car";"3.1-3"
"carData";"carData";"3.0-5"
"cellranger";"cellranger";"1.1.0"
"cffr";"cffr";"1.2.1"
"checkmate";"checkmate";"2.3.3"
"classInt";"classInt";"0.4-11"
"cli";"cli";"3.6.5"
"clipr";"clipr";"0.8.0"
"codemeta";"codemeta";"0.1.1"
"codemetar";"codemetar";"0.3.6"
"colorspace";"colorspace";"2.1-2"
"commonmark";"commonmark";"2.0.0"
"corrplot";"corrplot";"0.95"
"cowplot";"cowplot";"1.2.0"
"cpp11";"cpp11";"0.5.2"
"crayon";"crayon";"1.5.3"
"credentials";"credentials";"2.0.3"
"crosstalk";"crosstalk";"1.2.2"
"crul";"crul";"1.6.0"
"curl";"curl";"7.0.0"
"data.table";"data.table";"1.18.0"
"DBI";"DBI";"1.2.3"
"deldir";"deldir";"2.0-4"
"dendextend";"dendextend";"1.19.1"
"Deriv";"Deriv";"4.2.0"
"desc";"desc";"1.4.3"
"devtools";"devtools";"2.4.6"
"diffobj";"diffobj";"0.3.6"
"digest";"digest";"0.6.39"
"doBy";"doBy";"4.7.1"
"doSNOW";"doSNOW";"1.0.20"
"downlit";"downlit";"0.4.5"
"dplyr";"dplyr";"1.1.4"
"DT";"DT";"0.34.0"
"e1071";"e1071";"1.7-17"
"effects";"effects";"4.2-4"
"ellipse";"ellipse";"0.5.0"
"ellipsis";"ellipsis";"0.3.2"
"emmeans";"emmeans";"2.0.1"
"estimability";"estimability";"1.5.1"
"eulerr";"eulerr";"7.0.4"
"evaluate";"evaluate";"1.0.5"
"extrafont";"extrafont";"0.20"
"extrafontdb";"extrafontdb";"1.1"
"factoextra";"factoextra";"1.0.7"
"FactoMineR";"FactoMineR";"2.13"
"fansi";"fansi";"1.0.7"
"farver";"farver";"2.1.2"
"fastmap";"fastmap";"1.2.0"
"fastmatch";"fastmatch";"1.1-8"
"flashClust";"flashClust";"1.01-2"
"fontawesome";"fontawesome";"0.5.3"
"fontBitstreamVera";"fontBitstreamVera";"0.1.1"
"fontLiberation";"fontLiberation";"0.1.0"
"fontquiver";"fontquiver";"0.2.1"
"forcats";"forcats";"1.0.1"
"foreach";"foreach";"1.5.2"
"forecast";"forecast";"9.0.0"
"Formula";"Formula";"1.2-5"
"fracdiff";"fracdiff";"1.5-3"
"fs";"fs";"1.6.6"
"gdtools";"gdtools";"0.4.4"
"generics";"generics";"0.1.4"
"GenSA";"GenSA";"1.1.15"
"geometry";"geometry";"0.5.2"
"gert";"gert";"2.3.1"
"ggfortify";"ggfortify";"0.4.19"
"ggplot2";"ggplot2";"4.0.1"
"ggpubr";"ggpubr";"0.6.2"
"ggrepel";"ggrepel";"0.9.6"
"ggsci";"ggsci";"4.2.0"
"ggsignif";"ggsignif";"0.6.4"
"ggspatial";"ggspatial";"1.1.10"
"gh";"gh";"1.5.0"
"gitcreds";"gitcreds";"0.1.2"
"glue";"glue";"1.8.0"
"gridExtra";"gridExtra";"2.3"
"gtable";"gtable";"0.3.6"
"gtools";"gtools";"3.9.5"
"haven";"haven";"2.5.5"
"here";"here";"1.0.2"
"highr";"highr";"0.11"
"Hmisc";"Hmisc";"5.2-5"
"hms";"hms";"1.1.4"
"hrbrthemes";"hrbrthemes";"0.9.2"
"htmlTable";"htmlTable";"2.4.3"
"htmltools";"htmltools";"0.5.9"
"htmlwidgets";"htmlwidgets";"1.6.4"
"httpcode";"httpcode";"0.3.0"
"httpuv";"httpuv";"1.6.16"
"httr";"httr";"1.4.7"
"httr2";"httr2";"1.2.2"
"igraph";"igraph";"2.2.1"
"iNEXT";"iNEXT";"3.0.2"
"ini";"ini";"0.3.1"
"insight";"insight";"1.4.4"
"interp";"interp";"1.1-6"
"isoband";"isoband";"0.3.0"
"iterators";"iterators";"1.0.14"
"itertools";"itertools";"0.1-3"
"jpeg";"jpeg";"0.1-11"
"jquerylib";"jquerylib";"0.1.4"
"jsonlite";"jsonlite";"2.0.0"
"jsonvalidate";"jsonvalidate";"1.5.0"
"knitr";"knitr";"1.51"
"labeling";"labeling";"0.4.3"
"later";"later";"1.4.5"
"latticeExtra";"latticeExtra";"0.6-31"
"lazyeval";"lazyeval";"0.2.2"
"leaps";"leaps";"3.2"
"lifecycle";"lifecycle";"1.0.5"
"linprog";"linprog";"0.9-6"
"lme4";"lme4";"1.1-38"
"lmtest";"lmtest";"0.9-40"
"lpSolve";"lpSolve";"5.6.23"
"lubridate";"lubridate";"1.9.4"
"magic";"magic";"1.6-1"
"magrittr";"magrittr";"2.0.4"
"MatrixModels";"MatrixModels";"0.5-4"
"memoise";"memoise";"2.0.1"
"microbenchmark";"microbenchmark";"1.5.0"
"mime";"mime";"0.13"
"miniUI";"miniUI";"0.1.2"
"minpack.lm";"minpack.lm";"1.2-4"
"minqa";"minqa";"1.2.8"
"mitools";"mitools";"2.4"
"modelr";"modelr";"0.1.11"
"multcompView";"multcompView";"0.1-10"
"mvtnorm";"mvtnorm";"1.3-3"
"ncdf4";"ncdf4";"1.24"
"nloptr";"nloptr";"2.2.1"
"nortest";"nortest";"1.0-4"
"numDeriv";"numDeriv";"2016.8-1.1"
"openssl";"openssl";"2.3.4"
"otel";"otel";"0.2.0"
"patchwork";"patchwork";"1.3.2"
"pbkrtest";"pbkrtest";"0.5.5"
"permute";"permute";"0.9-8"
"phylobase";"phylobase";"0.8.12"
"picante";"picante";"1.8.2"
"pillar";"pillar";"1.11.1"
"pingr";"pingr";"2.0.5"
"pixmap";"pixmap";"0.4-14"
"pkgbuild";"pkgbuild";"1.4.8"
"pkgconfig";"pkgconfig";"2.0.3"
"pkgdown";"pkgdown";"2.2.0"
"pkgload";"pkgload";"1.4.1"
"plotly";"plotly";"4.11.0"
"plyr";"plyr";"1.8.9"
"png";"png";"0.1-8"
"polyclip";"polyclip";"1.10-7"
"polylabelr";"polylabelr";"1.0.0"
"polynom";"polynom";"1.4-1"
"praise";"praise";"1.0.0"
"prettyunits";"prettyunits";"1.2.0"
"processx";"processx";"3.8.6"
"profvis";"profvis";"0.4.0"
"progress";"progress";"1.2.3"
"promises";"promises";"1.5.0"
"proxy";"proxy";"0.4-29"
"ps";"ps";"1.9.1"
"purrr";"purrr";"1.2.1"
"quadprog";"quadprog";"1.5-8"
"quantmod";"quantmod";"0.4.28"
"quantreg";"quantreg";"6.1"
"quarto";"quarto";"1.5.1"
"R6";"R6";"2.6.1"
"ragg";"ragg";"1.5.0"
"rappdirs";"rappdirs";"0.3.4"
"rbibutils";"rbibutils";"2.4"
"rcdd";"rcdd";"1.6-1"
"rcmdcheck";"rcmdcheck";"1.4.0"
"Rcmdr";"Rcmdr";"2.9-5"
"RcmdrMisc";"RcmdrMisc";"2.10.1"
"RColorBrewer";"RColorBrewer";"1.1-3"
"rcompendium";"rcompendium";"1.4"
"Rcpp";"Rcpp";"1.1.1"
"RcppArmadillo";"RcppArmadillo";"15.2.3-1"
"RcppEigen";"RcppEigen";"0.3.4.0.2"
"RcppProgress";"RcppProgress";"0.4.2"
"Rdpack";"Rdpack";"2.6.4"
"readr";"readr";"2.1.6"
"readstata13";"readstata13";"0.11.0"
"readxl";"readxl";"1.4.5"
"reformulas";"reformulas";"0.4.3.1"
"relimp";"relimp";"1.0-5"
"rematch";"rematch";"2.0.0"
"remotes";"remotes";"2.5.0"
"renv";"renv";"1.1.4"
"reshape2";"reshape2";"1.4.5"
"rlang";"rlang";"1.1.7"
"rmarkdown";"rmarkdown";"2.30"
"rncl";"rncl";"0.8.8"
"RNeXML";"RNeXML";"2.4.11"
"rosm";"rosm";"0.3.0"
"roxygen2";"roxygen2";"7.3.3"
"rprojroot";"rprojroot";"2.1.1"
"rstatix";"rstatix";"0.7.3"
"rstudioapi";"rstudioapi";"0.18.0"
"Rttf2pt1";"Rttf2pt1";"1.3.14"
"rversions";"rversions";"3.0.0"
"s2";"s2";"1.1.9"
"S7";"S7";"0.2.1"
"sandwich";"sandwich";"3.1-1"
"sass";"sass";"0.4.10"
"scales";"scales";"1.4.0"
"scatterplot3d";"scatterplot3d";"0.3-44"
"secretbase";"secretbase";"1.1.1"
"segmented";"segmented";"2.2-0"
"seqinr";"seqinr";"4.2-36"
"sessioninfo";"sessioninfo";"1.2.3"
"sf";"sf";"1.0-24"
"shiny";"shiny";"1.12.1"
"snow";"snow";"0.4-4"
"sourcetools";"sourcetools";"0.1.7-1"
"sp";"sp";"2.2-0"
"SparseM";"SparseM";"1.84-2"
"spData";"spData";"2.3.4"
"spdep";"spdep";"1.4-1"
"stringi";"stringi";"1.8.7"
"stringr";"stringr";"1.6.0"
"survey";"survey";"4.4-8"
"sys";"sys";"3.4.3"
"systemfonts";"systemfonts";"1.3.1"
"tarchetypes";"tarchetypes";"0.13.2"
"targets";"targets";"1.11.4"
"tcltk2";"tcltk2";"1.6.1"
"testthat";"testthat";"3.3.2"
"textshaping";"textshaping";"1.0.4"
"tibble";"tibble";"3.3.1"
"tidyr";"tidyr";"1.3.2"
"tidyselect";"tidyselect";"1.2.1"
"timechange";"timechange";"0.3.0"
"timeDate";"timeDate";"4051.111"
"tinytex";"tinytex";"0.58"
"triebeard";"triebeard";"0.4.1"
"tseries";"tseries";"0.10-59"
"TTR";"TTR";"0.24.4"
"tzdb";"tzdb";"0.5.0"
"units";"units";"1.0-0"
"urca";"urca";"1.3-4"
"urlchecker";"urlchecker";"1.0.1"
"urltools";"urltools";"1.7.3.1"
"usethis";"usethis";"3.2.1"
"utf8";"utf8";"1.2.6"
"uuid";"uuid";"1.2-1"
"V8";"V8";"8.0.1"
"vctrs";"vctrs";"0.7.0"
"vegan";"vegan";"2.7-2"
"viridis";"viridis";"0.6.5"
"viridisLite";"viridisLite";"0.4.2"
"vroom";"vroom";"1.6.7"
"waldo";"waldo";"0.6.2"
"wesanderson";"wesanderson";"0.3.7"
"whisker";"whisker";"0.4.1"
"withr";"withr";"3.0.2"
"wk";"wk";"0.9.5"
"writexl";"writexl";"1.5.4"
"xfun";"xfun";"0.56"
"XML";"XML";"3.99-0.20"
"xml2";"xml2";"1.5.2"
"xopen";"xopen";"1.0.1"
"xtable";"xtable";"1.8-4"
"xts";"xts";"0.14.1"
"yaml";"yaml";"2.3.12"
"zip";"zip";"2.3.3"
"zoo";"zoo";"1.8-15"
"base";"base";"4.5.2"
"boot";"boot";"1.3-32"
"class";"class";"7.3-23"
"cluster";"cluster";"2.1.8.1"
"codetools";"codetools";"0.2-20"
"compiler";"compiler";"4.5.2"
"datasets";"datasets";"4.5.2"
"foreign";"foreign";"0.8-90"
"graphics";"graphics";"4.5.2"
"grDevices";"grDevices";"4.5.2"
"grid";"grid";"4.5.2"
"KernSmooth";"KernSmooth";"2.23-26"
"lattice";"lattice";"0.22-7"
"MASS";"MASS";"7.3-65"
"Matrix";"Matrix";"1.7-4"
"methods";"methods";"4.5.2"
"mgcv";"mgcv";"1.9-3"
"nlme";"nlme";"3.1-168"
"nnet";"nnet";"7.3-20"
"parallel";"parallel";"4.5.2"
"rpart";"rpart";"4.1.24"
"spatial";"spatial";"7.3-18"
"splines";"splines";"4.5.2"
"stats";"stats";"4.5.2"
"stats4";"stats4";"4.5.2"
"survival";"survival";"3.8-3"
"tcltk";"tcltk";"4.5.2"
"tools";"tools";"4.5.2"
"utils";"utils";"4.5.2"
