Package;Version
abind;1.4-8
ade4;1.7-23
adegenet;2.1.11
adegraphics;1.0-22
adephylo;1.1-17
adespatial;0.3-28
ape;5.8-1
askpass;1.2.1
backports;1.5.0
base64enc;0.1-3
base64url;1.4
betapart;1.6.1
BiodiversityR;2.17-4
bit;4.6.0
bit64;4.6.0-1
brew;1.0-10
brio;1.1.5
broom;1.0.11
bslib;0.9.0
cachem;1.1.0
callr;3.7.6
car;3.1-3
carData;3.0-5
cellranger;1.1.0
cffr;1.2.1
checkmate;2.3.3
classInt;0.4-11
cli;3.6.5
clipr;0.8.0
codemeta;0.1.1
codemetar;0.3.6
colorspace;2.1-2
commonmark;2.0.0
corrplot;0.95
cowplot;1.2.0
cpp11;0.5.2
crayon;1.5.3
credentials;2.0.3
crosstalk;1.2.2
crul;1.6.0
curl;7.0.0
data.table;1.18.0
DBI;1.2.3
deldir;2.0-4
dendextend;1.19.1
Deriv;4.2.0
desc;1.4.3
devtools;2.4.6
diffobj;0.3.6
digest;0.6.39
doBy;4.7.1
doSNOW;1.0.20
downlit;0.4.5
dplyr;1.1.4
DT;0.34.0
e1071;1.7-17
effects;4.2-4
ellipse;0.5.0
ellipsis;0.3.2
emmeans;2.0.1
estimability;1.5.1
eulerr;7.0.4
evaluate;1.0.5
extrafont;0.20
extrafontdb;1.1
factoextra;1.0.7
FactoMineR;2.13
fansi;1.0.7
farver;2.1.2
fastmap;1.2.0
fastmatch;1.1-8
flashClust;1.01-2
fontawesome;0.5.3
fontBitstreamVera;0.1.1
fontLiberation;0.1.0
fontquiver;0.2.1
forcats;1.0.1
foreach;1.5.2
forecast;9.0.0
Formula;1.2-5
fracdiff;1.5-3
fs;1.6.6
gdtools;0.4.4
generics;0.1.4
GenSA;1.1.15
geometry;0.5.2
gert;2.3.1
ggfortify;0.4.19
ggplot2;4.0.1
ggpubr;0.6.2
ggrepel;0.9.6
ggsci;4.2.0
ggsignif;0.6.4
ggspatial;1.1.10
gh;1.5.0
gitcreds;0.1.2
glue;1.8.0
gridExtra;2.3
gtable;0.3.6
gtools;3.9.5
haven;2.5.5
here;1.0.2
highr;0.11
Hmisc;5.2-5
hms;1.1.4
hrbrthemes;0.9.2
htmlTable;2.4.3
htmltools;0.5.9
htmlwidgets;1.6.4
httpcode;0.3.0
httpuv;1.6.16
httr;1.4.7
httr2;1.2.2
igraph;2.2.1
iNEXT;3.0.2
ini;0.3.1
insight;1.4.4
interp;1.1-6
isoband;0.3.0
iterators;1.0.14
itertools;0.1-3
jpeg;0.1-11
jquerylib;0.1.4
jsonlite;2.0.0
jsonvalidate;1.5.0
knitr;1.51
labeling;0.4.3
later;1.4.5
latticeExtra;0.6-31
lazyeval;0.2.2
leaps;3.2
lifecycle;1.0.5
linprog;0.9-6
lme4;1.1-38
lmtest;0.9-40
lpSolve;5.6.23
lubridate;1.9.4
magic;1.6-1
magrittr;2.0.4
MatrixModels;0.5-4
memoise;2.0.1
microbenchmark;1.5.0
mime;0.13
miniUI;0.1.2
minpack.lm;1.2-4
minqa;1.2.8
mitools;2.4
modelr;0.1.11
multcompView;0.1-10
mvtnorm;1.3-3
ncdf4;1.24
nloptr;2.2.1
nortest;1.0-4
numDeriv;2016.8-1.1
openssl;2.3.4
otel;0.2.0
patchwork;1.3.2
pbkrtest;0.5.5
permute;0.9-8
phylobase;0.8.12
picante;1.8.2
pillar;1.11.1
pingr;2.0.5
pixmap;0.4-14
pkgbuild;1.4.8
pkgconfig;2.0.3
pkgdown;2.2.0
pkgload;1.4.1
plotly;4.11.0
plyr;1.8.9
png;0.1-8
polyclip;1.10-7
polylabelr;1.0.0
polynom;1.4-1
praise;1.0.0
prettyunits;1.2.0
processx;3.8.6
profvis;0.4.0
progress;1.2.3
promises;1.5.0
proxy;0.4-29
ps;1.9.1
purrr;1.2.1
quadprog;1.5-8
quantmod;0.4.28
quantreg;6.1
quarto;1.5.1
R6;2.6.1
ragg;1.5.0
rappdirs;0.3.4
rbibutils;2.4
rcdd;1.6-1
rcmdcheck;1.4.0
Rcmdr;2.9-5
RcmdrMisc;2.10.1
RColorBrewer;1.1-3
rcompendium;1.4
Rcpp;1.1.1
RcppArmadillo;15.2.3-1
RcppEigen;0.3.4.0.2
RcppProgress;0.4.2
Rdpack;2.6.4
readr;2.1.6
readstata13;0.11.0
readxl;1.4.5
reformulas;0.4.3.1
relimp;1.0-5
rematch;2.0.0
remotes;2.5.0
renv;1.1.4
reshape2;1.4.5
rlang;1.1.7
rmarkdown;2.30
rncl;0.8.8
RNeXML;2.4.11
rosm;0.3.0
roxygen2;7.3.3
rprojroot;2.1.1
rstatix;0.7.3
rstudioapi;0.18.0
Rttf2pt1;1.3.14
rversions;3.0.0
s2;1.1.9
S7;0.2.1
sandwich;3.1-1
sass;0.4.10
scales;1.4.0
scatterplot3d;0.3-44
secretbase;1.1.1
segmented;2.2-0
seqinr;4.2-36
sessioninfo;1.2.3
sf;1.0-24
shiny;1.12.1
snow;0.4-4
sourcetools;0.1.7-1
sp;2.2-0
SparseM;1.84-2
spData;2.3.4
spdep;1.4-1
stringi;1.8.7
stringr;1.6.0
survey;4.4-8
sys;3.4.3
systemfonts;1.3.1
tarchetypes;0.13.2
targets;1.11.4
tcltk2;1.6.1
testthat;3.3.2
textshaping;1.0.4
tibble;3.3.1
tidyr;1.3.2
tidyselect;1.2.1
timechange;0.3.0
timeDate;4051.111
tinytex;0.58
triebeard;0.4.1
tseries;0.10-59
TTR;0.24.4
tzdb;0.5.0
units;1.0-0
urca;1.3-4
urlchecker;1.0.1
urltools;1.7.3.1
usethis;3.2.1
utf8;1.2.6
uuid;1.2-1
V8;8.0.1
