"","MSP10_SPON","MSP11_SPON","MSP12_SPON","MSP14_SPON","MSP15_SPON","MSP18_SPON","MSP1_SPON","MSP20_SPON","MSP23_SPON","MSP24_SPON","MSP25_SPON","MSP27_SPON","MSP28_SPON","MSP29_SPON","MSP2_SPON","MSP33_SPON","MSP38_SPON","MSP39_SPON2","MSP3_SPON","MSP41_SPON","MSP42_SPON","MSP43_SPON","MSP44_SPON","MSP45_SPON","MSP46_SPON","MSP47_SPON","MSP48_SPON","MSP4_SPON","MSP8_SPON","MSP9_SPON","X_SPON"
"P50ARMS1A",0.145348837209302,0,1.60778739687364,0,2.78062834982478,0,0.515518707482993,0.89030612244898,0,0,0,0.127551020408163,0,0,0,0,0,1.02040816326531,0.552389614889615,0.255102040816327,0,0,0,0,0,0,0,0.337837837837838,1.00516981657749,0.125,0.127551020408163
"P50ARMS1B",0.38796768707483,0,1.26266891891892,0,0.127551020408163,0,0,0.38531037414966,0,0,0,0,0,0,0,0,0,0.257759353741497,0.885702838827839,0.168918918918919,0.272899857617466,0.398936170212766,0,0,0,0,0,0,0.745223621363439,0,0
"P50ARMS1C",0.168918918918919,0,0.31444099378882,0,1.66148810568453,0,0.440340909090909,0.724410948468194,0,0,0,0.132978723404255,0,0,0,0,0.15625,0.667784458834413,1.02367935810688,0,0.183823529411765,0,0,0,0,0,0,0.127551020408163,0.873552123552124,0,0
"P50ARMS2A",0,0,0.764033750534874,0,1.97789115646258,0,0,2.96383717960869,0,0,1.13010204081633,0,0.255102040816327,17.1911287254799,0,0.164473684210526,0,0,0.732907014157014,0,0.38796768707483,0,0,0,0,0,0,0,0.168918918918919,0,0
"P50ARMS2B",0.168918918918919,0,0,0,0.436046511627907,0,0,1.58781822261014,0.127551020408163,0,0,0,0,0,0,0,0,0,0.451471286188894,0,0,0,0,0,0,0,0,0,0.127551020408163,0,0
"P50ARMS2C",0.130208333333333,0,0,0,3.48493389608387,0,0,7.15931793311369,0,0,1.32147606382979,0.78125,0,10.4346679680612,0,0,0,0,0.556542642140468,0,0,0,0,0,0,0,0,0,0,0,0
"P50ARMS3A",0.125,0,0.132978723404255,0,3.31233616866812,0,0.130208333333333,2.50834509335649,0,0,0,0.523936170212766,0,0.277439024390244,0,0,0,0,0,0,0,0,0.393395390070922,0,0,0,0,0,0,0,0
"P50ARMS3B",1.03115049211174,0.25,0.987266279819471,0.943613124464188,3.45190449559751,0.130208333333333,0.15625,3.01251158417762,0,0.15625,0,1.10413396127682,0,0,0,0,0,0,1.38792875186302,0.481418918918919,0,0,0,0.716371987624837,0,0,0,0,0.93087715855573,0,0
"P50ARMS3C",0.714824926670857,0,0.42367639782286,0,3.59622043357442,0,0.145348837209302,5.24773851260552,0,0.130208333333333,0,1.0186887254902,0.3125,0,0.301897642323174,0,0,0.16025641025641,1.04827235772358,0,0.301897642323174,0,0,1.17146993932708,0.265957446808511,0.603795284646348,0.130208333333333,0,0.533535893946891,0,0
"10",2.8723381142379,0.25,5.49285246116284,0.943613124464188,20.8290001379319,0.130208333333333,1.38766678711654,24.479595970539,0.127551020408163,0.286458333333333,2.45157810464612,3.6885386007922,0.567602040816327,27.9032357179313,0.301897642323174,0.164473684210526,0.15625,2.10620838609763,6.63889386389731,0.905439878654165,1.14658871642724,0.398936170212766,0.393395390070922,1.88784192695192,0.265957446808511,0.603795284646348,0.130208333333333,0.465388858246001,4.38482855332276,0.125,0.127551020408163
